Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,MPN_LCSC,Price_LCSC,DigiKeyLink,LCSCLink,Price,LinkLCSC,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,PARTREV,STANDARD
AE1,1,ANT3216LL00R2400A,ANT3216LL00R2400A,,,,smt,C293767,0.1226,,,,,,,,
"C1, C15, C18, C20, C9",5,1uF,C_0402_1005Metric,,490-GRT155C80J105KE01JCT-ND,,smt,C14445,0.0018,https://www.digikey.ca/en/products/detail/murata-electronics/GRT155C80J105KE01J/13904934,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KP5NNNC_C14445.html,0.0448,,,,,
"C10, C11, C12, C2, C7",5,100nF,C_0402_1005Metric,,,,smt,"[C10,C11]C258109; [C12,C2,C7]C41851","[C10,C11]0.0005; [C12]0.0008; [C2,C7]0.0009",,https://lcsc.com/product-detail/Chip-Resistor-Surface-Mount_FH-Guangdong-Fenghua-Advanced-Tech-RC-02W101JT_C258109.html,,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0402B104K160NT_C41851.html,,,,
"C13, C16, C4",3,100nF,C_0402_1005Metric,,490-GRT155C80J105KE01JCT-ND,,smt,C14445,0.0018,https://www.digikey.ca/en/products/detail/murata-electronics/GRT155C80J105KE01J/13904934,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KP5NNNC_C14445.html,0.0448,,,,,
"C14, C17, C19",3,22uF,C_0402_1005Metric,,490-GRT155C80J105KE01JCT-ND,,smt,C14445,0.0018,https://www.digikey.ca/en/products/detail/murata-electronics/GRT155C80J105KE01J/13904934,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A105KP5NNNC_C14445.html,0.0448,,,,,
C3,1,200pF,C_0402_1005Metric,,,,smt,C41851,0.0009,,,,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0402B104K160NT_C41851.html,,,,
C5,1,10uF,C_0402_1005Metric,,1276-1450-1-ND,,smt,C15525,0.0057,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A106MP5NUNC/3887108,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.html,0.1092,,,,,
C6,1,100nF,C_0402_1005Metric,,1276-1043-1-ND,,smt,C41851,0.0008,https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL05A104KA5NNNC/3886701,,0.006,https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_FH-Guangdong-Fenghua-Advanced-Tech-0402B104K160NT_C41851.html,,,,
D1,1,WS2812B-2020,LED_WS2812C-2020,,,,tht,C965555,,,https://lcsc.com/product-detail/Light-Emitting-Diodes-LED_Worldsemi-WS2812B-2020_C965555.html,,,,,,
D2,1,Red,D_0402_1005Metric,,,,smt,C965790,,,,,,,,,
