pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
90.101881,-76.601416,0.0,top,AE1,,,ANT3216LL00R2400A,ANT3216LL00R2400A,smt
93.317684,-80.32021,180.0,top,C1,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,1uF,smt
112.074913,-81.620885,-90.0,top,C10,,,C_0402_1005Metric,100nF,smt
111.100914,-81.61903,-90.0,top,C11,,,C_0402_1005Metric,100nF,smt
148.237075,-76.119389,0.0,top,C12,,,C_0402_1005Metric,100nF,smt
158.357718,-77.163138,90.0,top,C13,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,100nF,smt
158.83455,-78.612375,180.0,top,C14,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,22uF,smt
130.060864,-77.131641,90.0,top,C15,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,1uF,smt
120.420868,-76.583942,-90.0,top,C16,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,100nF,smt
138.920702,-76.447219,0.0,top,C17,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,22uF,smt
117.862044,-76.579562,-90.0,top,C18,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,1uF,smt
132.827042,-79.630638,0.0,top,C19,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,22uF,smt
77.05,-79.2,-90.0,top,C2,,,C_0402_1005Metric,100nF,smt
68.783522,-79.45,90.0,top,C20,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,1uF,smt
76.05,-79.2,90.0,top,C3,,,C_0402_1005Metric,200pF,smt
75.05,-83.0,-90.0,top,C4,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,100nF,smt
94.658254,-77.67,-90.0,top,C5,1276-1450-1-ND,,C_0402_1005Metric,10uF,smt
95.641746,-77.67,-90.0,top,C6,1276-1043-1-ND,,C_0402_1005Metric,100nF,smt
87.65,-81.8255,0.0,top,C7,,,C_0402_1005Metric,100nF,smt
112.953381,-78.5,-90.0,top,C9,490-GRT155C80J105KE01JCT-ND,,C_0402_1005Metric,1uF,smt
68.716478,-79.2,0.0,bottom,D1,,,LED_WS2812C-2020,WS2812B-2020,tht
152.054833,-76.298232,180.0,top,D2,,,D_0402_1005Metric,Red,smt
126.710985,-76.322776,180.0,top,D3,,,D_SOD-123,RB160M-30,smt
123.380387,-76.9069,90.0,top,F1,,,R_0805_2012Metric,1A,smt
72.5025,-82.0,90.0,bottom,J1,,,Solder-5P-Connector,Conn_01x05_Male,tht
68.2525,-76.15,90.0,bottom,J2,,,Solder-3P-Connector,Ext RGB,tht
127.479107,-81.29074,0.0,top,J3,WM1399CT-ND,,USB_Micro-B_Amphenol_10118194_Horizontal,USB_B_Micro,smt
102.342943,-83.491236,-90.0,bottom,J4,,,Solder-2P-Connector,Touch,tht
68.25,-81.9,90.0,bottom,J5,,,Solder-3P-Connector,Ext. HUD,tht
138.522558,-79.184084,180.0,top,L1,,,1.5uH_YXMAA0402-1R5M-ANP,1.5uH,tht
107.176762,-81.829454,180.0,top,Q1,,,SOT-523,2SC4617R BR,smt
109.470543,-81.838473,0.0,top,Q2,,,SOT-523,2SC4617R BR,smt
141.28704,-76.041522,180.0,top,Q3,,,DFN100X60X40-3N,PMZ290UNE2YL,tht
143.142489,-80.199202,180.0,top,Q4,,,YJQD30P02A_DFN3.3x3.3,YJQD30P02A,tht
70.52075,-76.1,0.0,top,Q5,,,DFN100X60X40-3N,PMZ350UPEYL,tht
93.317108,-81.318825,180.0,top,R1,RMCF0402JT10K0CT-ND,,R_0402_1005Metric,10K,smt
142.816193,-76.230313,-90.0,top,R10,,,R_0402_1005Metric,100K,smt
146.078592,-79.281236,90.0,top,R11,,,R_0402_1005Metric,1M,smt
144.329268,-75.741163,0.0,top,R12,,,R_0402_1005Metric,1M,smt
131.067832,-76.503506,90.0,top,R13,,,R_0402_1005Metric,470K,smt
132.538103,-76.081567,180.0,top,R14,,,R_0402_1005Metric,147K,smt
132.876626,-82.824526,90.0,top,R15,,,R_0402_1005Metric,4.7K,smt
